Epoch: 001, Train Acc: 24.989309, Val Acc: 25.573333
Epoch: 002, Train Acc: 42.435855, Val Acc: 40.726667
Epoch: 003, Train Acc: 49.762336, Val Acc: 48.506667
Epoch: 004, Train Acc: 51.881579, Val Acc: 51.206667
Epoch: 005, Train Acc: 52.567434, Val Acc: 51.913333
Epoch: 006, Train Acc: 52.934211, Val Acc: 52.300000
Epoch: 007, Train Acc: 53.174342, Val Acc: 52.813333
Epoch: 008, Train Acc: 53.363487, Val Acc: 53.040000
Epoch: 009, Train Acc: 53.473684, Val Acc: 53.373333
Epoch: 010, Train Acc: 53.566612, Val Acc: 53.660000
Epoch: 011, Train Acc: 53.639803, Val Acc: 53.873333
Epoch: 012, Train Acc: 53.708882, Val Acc: 53.960000
Epoch: 013, Train Acc: 53.800164, Val Acc: 53.993333
Epoch: 014, Train Acc: 53.847862, Val Acc: 54.060000
Epoch: 015, Train Acc: 53.958882, Val Acc: 54.173333
Epoch: 016, Train Acc: 54.039474, Val Acc: 54.226667
Epoch: 017, Train Acc: 54.097862, Val Acc: 54.213333
Epoch: 018, Train Acc: 54.190789, Val Acc: 54.266667
Epoch: 019, Train Acc: 54.202303, Val Acc: 54.286667
Epoch: 020, Train Acc: 54.287829, Val Acc: 54.293333
Epoch: 021, Train Acc: 54.361020, Val Acc: 54.373333
Epoch: 022, Train Acc: 54.394737, Val Acc: 54.373333
Epoch: 023, Train Acc: 54.421053, Val Acc: 54.320000
Epoch: 024, Train Acc: 54.449836, Val Acc: 54.360000
Epoch: 025, Train Acc: 54.479441, Val Acc: 54.333333
Epoch: 026, Train Acc: 54.537007, Val Acc: 54.366667
Epoch: 027, Train Acc: 54.527138, Val Acc: 54.386667
Epoch: 028, Train Acc: 54.555099, Val Acc: 54.406667
Epoch: 029, Train Acc: 54.573191, Val Acc: 54.413333
Epoch: 030, Train Acc: 54.628289, Val Acc: 54.420000
Epoch: 031, Train Acc: 54.689145, Val Acc: 54.446667
Epoch: 032, Train Acc: 54.726974, Val Acc: 54.460000
Epoch: 033, Train Acc: 54.757401, Val Acc: 54.460000
Epoch: 034, Train Acc: 54.803454, Val Acc: 54.466667
Epoch: 035, Train Acc: 54.840461, Val Acc: 54.473333
Epoch: 036, Train Acc: 54.895559, Val Acc: 54.513333
Epoch: 037, Train Acc: 54.920230, Val Acc: 54.520000
Epoch: 038, Train Acc: 54.927632, Val Acc: 54.520000
Epoch: 039, Train Acc: 54.973684, Val Acc: 54.546667
Epoch: 040, Train Acc: 54.971217, Val Acc: 54.566667
Epoch: 041, Train Acc: 54.982730, Val Acc: 54.566667
Epoch: 042, Train Acc: 55.000822, Val Acc: 54.526667
Epoch: 043, Train Acc: 55.000822, Val Acc: 54.560000
Epoch: 044, Train Acc: 55.032895, Val Acc: 54.566667
Epoch: 045, Train Acc: 55.055099, Val Acc: 54.560000
Epoch: 046, Train Acc: 55.062500, Val Acc: 54.553333
Epoch: 047, Train Acc: 55.072368, Val Acc: 54.560000
Epoch: 048, Train Acc: 55.082237, Val Acc: 54.580000
Epoch: 049, Train Acc: 55.095395, Val Acc: 54.620000
Epoch: 050, Train Acc: 55.101151, Val Acc: 54.580000
Epoch: 051, Train Acc: 55.100329, Val Acc: 54.600000
Epoch: 052, Train Acc: 55.117599, Val Acc: 54.606667
Epoch: 053, Train Acc: 55.123355, Val Acc: 54.640000
Epoch: 054, Train Acc: 55.137336, Val Acc: 54.640000
Epoch: 055, Train Acc: 55.137336, Val Acc: 54.673333
Epoch: 056, Train Acc: 55.163651, Val Acc: 54.673333
Epoch: 057, Train Acc: 55.168586, Val Acc: 54.693333
Epoch: 058, Train Acc: 55.186678, Val Acc: 54.680000
Epoch: 059, Train Acc: 55.204770, Val Acc: 54.673333
Epoch: 060, Train Acc: 55.217928, Val Acc: 54.666667
Epoch: 061, Train Acc: 55.221217, Val Acc: 54.700000
Epoch: 062, Train Acc: 55.258224, Val Acc: 54.693333
Epoch: 063, Train Acc: 55.246711, Val Acc: 54.733333
Epoch: 064, Train Acc: 55.276316, Val Acc: 54.726667
Epoch: 065, Train Acc: 55.281250, Val Acc: 54.726667
Epoch: 066, Train Acc: 55.309211, Val Acc: 54.720000
Epoch: 067, Train Acc: 55.339638, Val Acc: 54.720000
Epoch: 068, Train Acc: 55.357730, Val Acc: 54.733333
Epoch: 069, Train Acc: 55.354441, Val Acc: 54.733333
Epoch: 070, Train Acc: 55.371711, Val Acc: 54.740000
Epoch: 071, Train Acc: 55.378289, Val Acc: 54.746667
Epoch: 072, Train Acc: 55.383224, Val Acc: 54.753333
Epoch: 073, Train Acc: 55.405428, Val Acc: 54.740000
Epoch: 074, Train Acc: 55.408717, Val Acc: 54.733333
Epoch: 075, Train Acc: 55.416118, Val Acc: 54.746667
Epoch: 076, Train Acc: 55.430921, Val Acc: 54.733333
Epoch: 077, Train Acc: 55.418586, Val Acc: 54.753333
Epoch: 078, Train Acc: 55.446546, Val Acc: 54.766667
Epoch: 079, Train Acc: 55.449013, Val Acc: 54.760000
Epoch: 080, Train Acc: 55.467105, Val Acc: 54.773333
Epoch: 081, Train Acc: 55.494243, Val Acc: 54.760000
Epoch: 082, Train Acc: 55.488487, Val Acc: 54.760000
Epoch: 083, Train Acc: 55.509868, Val Acc: 54.740000
Epoch: 084, Train Acc: 55.504112, Val Acc: 54.766667
Epoch: 085, Train Acc: 55.522204, Val Acc: 54.793333
Epoch: 086, Train Acc: 55.533717, Val Acc: 54.793333
Epoch: 087, Train Acc: 55.537007, Val Acc: 54.806667
Epoch: 088, Train Acc: 55.545230, Val Acc: 54.773333
Epoch: 089, Train Acc: 55.568257, Val Acc: 54.760000
Epoch: 090, Train Acc: 55.585526, Val Acc: 54.786667
Epoch: 091, Train Acc: 55.575658, Val Acc: 54.740000
Epoch: 092, Train Acc: 55.583059, Val Acc: 54.726667
Epoch: 093, Train Acc: 55.606086, Val Acc: 54.733333
Epoch: 094, Train Acc: 55.595395, Val Acc: 54.746667
Epoch: 095, Train Acc: 55.624178, Val Acc: 54.733333
Epoch: 096, Train Acc: 55.632401, Val Acc: 54.753333
Epoch: 097, Train Acc: 55.632401, Val Acc: 54.773333
Epoch: 098, Train Acc: 55.646382, Val Acc: 54.760000
Epoch: 099, Train Acc: 55.662829, Val Acc: 54.740000
Epoch: 100, Train Acc: 55.665296, Val Acc: 54.753333
Epoch: 101, Train Acc: 55.656250, Val Acc: 54.760000
Epoch: 102, Train Acc: 55.678454, Val Acc: 54.766667
Epoch: 103, Train Acc: 55.675164, Val Acc: 54.733333
Epoch: 104, Train Acc: 55.701480, Val Acc: 54.773333
Epoch: 105, Train Acc: 55.703947, Val Acc: 54.746667
Epoch: 106, Train Acc: 55.733553, Val Acc: 54.786667
Epoch: 107, Train Acc: 55.726151, Val Acc: 54.793333
Epoch: 108, Train Acc: 55.768092, Val Acc: 54.806667
Epoch: 109, Train Acc: 55.730263, Val Acc: 54.773333
Epoch: 110, Train Acc: 55.730263, Val Acc: 54.773333
Epoch: 111, Train Acc: 55.783717, Val Acc: 54.793333
Epoch: 112, Train Acc: 55.781250, Val Acc: 54.780000
Epoch: 113, Train Acc: 55.774671, Val Acc: 54.760000
Epoch: 114, Train Acc: 55.799342, Val Acc: 54.786667
Epoch: 115, Train Acc: 55.769737, Val Acc: 54.726667
Epoch: 116, Train Acc: 55.830592, Val Acc: 54.746667
Epoch: 117, Train Acc: 55.840461, Val Acc: 54.766667
Epoch: 118, Train Acc: 55.848684, Val Acc: 54.766667
