Conf: 0.0, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.05, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.1, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.15, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.2, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.25, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.3, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.35, Precision: 0.865163, Recall: 0.751899, F1 Score: 0.782583
Conf: 0.4, Precision: 0.865992, Recall: 0.749082, F1 Score: 0.780249
Conf: 0.45, Precision: 0.866111, Recall: 0.745952, F1 Score: 0.777998
Conf: 0.5, Precision: 0.870544, Recall: 0.694549, F1 Score: 0.726517
Conf: 0.55, Precision: 0.602382, Recall: 0.546438, F1 Score: 0.551154
Conf: 0.6, Precision: 0.566471, Recall: 0.524914, F1 Score: 0.521991
Conf: 0.65, Precision: 0.556691, Recall: 0.516755, F1 Score: 0.510993
Conf: 0.7, Precision: 0.557759, Recall: 0.515139, F1 Score: 0.508529
Conf: 0.75, Precision: 0.546471, Recall: 0.510795, F1 Score: 0.502711
Conf: 0.8, Precision: 0.542395, Recall: 0.508138, F1 Score: 0.499568
Conf: 0.85, Precision: 0.540344, Recall: 0.505130, F1 Score: 0.496128
Conf: 0.9, Precision: 0.528435, Recall: 0.499352, F1 Score: 0.488308
Conf: 0.95, Precision: 0.522434, Recall: 0.495392, F1 Score: 0.483851
Conf: 1.0, Precision: 0.519765, Recall: 0.490323, F1 Score: 0.479025
