'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.0
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.0
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.0
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.0
'weighted': P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.0
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.05
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.05
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.05
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.05
'weighted': P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.05
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.1
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.1
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.1
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.1
'weighted': P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.1
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.15
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.15
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.15
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.15
'weighted': P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.15
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.2
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.2
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.2
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.2
'weighted': P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.2
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.25
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.25
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.25
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.25
'weighted': P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.25
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.3
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.3
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.3
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.3
'weighted': P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.3
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.35
'1': P: 0.8067796610169492 , R: 0.7702265372168284 , F1: 0.7880794701986755 , conf: 0.35
'2': P: 0.9953876175270534 , R: 0.9948581560283688 , F1: 0.9951228163518666 , conf: 0.35
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.35
'weighted': P: 0.9389858957021651 , R: 0.9414058784362218 , F1: 0.937405641959495 , conf: 0.35
'0': P: 0.8984053497942387 , R: 0.9471258134490239 , F1: 0.9221224920802534 , conf: 0.4
'1': P: 0.8088737201365188 , R: 0.7669902912621359 , F1: 0.7873754152823921 , conf: 0.4
'2': P: 0.9938042131350682 , R: 0.9953900709219858 , F1: 0.9945965098768713 , conf: 0.4
'3': P: 0.7628865979381443 , R: 0.2868217054263566 , F1: 0.4169014084507042 , conf: 0.4
'weighted': P: 0.9383644414493989 , R: 0.9409302768001522 , F1: 0.9367230704693797 , conf: 0.4
'0': P: 0.8975810602161606 , R: 0.9457700650759219 , F1: 0.9210456825983628 , conf: 0.45
'1': P: 0.8184971098265896 , R: 0.7637540453074434 , F1: 0.7901785714285714 , conf: 0.45
'2': P: 0.9904711487559555 , R: 0.9952127659574468 , F1: 0.9928362960997612 , conf: 0.45
'3': P: 0.7578947368421053 , R: 0.27906976744186046 , F1: 0.40793201133144474 , conf: 0.45
'weighted': P: 0.937013211450138 , R: 0.939883953200799 , F1: 0.9354280587903752 , conf: 0.45
'0': P: 0.8754679311205391 , R: 0.9511930585683297 , F1: 0.9117608836907083 , conf: 0.5
'1': P: 0.8504672897196262 , R: 0.6871628910463862 , F1: 0.7601431980906921 , conf: 0.5
'2': P: 0.9807288016818501 , R: 0.9925531914893617 , F1: 0.9866055692633063 , conf: 0.5
'3': P: 0.7755102040816326 , R: 0.14728682170542637 , F1: 0.247557003257329 , conf: 0.5
'weighted': P: 0.9272806032228038 , R: 0.9303719204794064 , F1: 0.9222440788706214 , conf: 0.5
'0': P: 0.7827749044299528 , R: 0.9438720173535792 , F1: 0.8558082360172096 , conf: 0.55
'1': P: 0.6539509536784741 , R: 0.2588996763754045 , F1: 0.37094281298299847 , conf: 0.55
'2': P: 0.9728022460080716 , R: 0.9829787234042553 , F1: 0.9778640091718847 , conf: 0.55
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.55
'weighted': P: 0.8541511508687469 , R: 0.8812898316370208 , F1: 0.8575323669548309 , conf: 0.55
'0': P: 0.7631348511383538 , R: 0.9452277657266811 , F1: 0.8444767441860465 , conf: 0.6
'1': P: 0.5253164556962026 , R: 0.1790722761596548 , F1: 0.2670957361222848 , conf: 0.6
'2': P: 0.9774342572850035 , R: 0.975354609929078 , F1: 0.9763933262335818 , conf: 0.6
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.6
'weighted': P: 0.8384037759455957 , R: 0.8706363549890611 , F1: 0.8436113706744887 , conf: 0.6
'0': P: 0.7549210469392169 , R: 0.9463123644251626 , F1: 0.839850800144387 , conf: 0.65
'1': P: 0.49645390070921985 , R: 0.15102481121898598 , F1: 0.23159636062861869 , conf: 0.65
'2': P: 0.9753879079721777 , R: 0.9696808510638298 , F1: 0.9725260069351828 , conf: 0.65
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.65
'weighted': P: 0.8318795194551851 , R: 0.8654998573195092 , F1: 0.8367836256396518 , conf: 0.65
'0': P: 0.7485068259385665 , R: 0.9514642082429501 , F1: 0.8378701050620821 , conf: 0.7
'1': P: 0.5037593984962406 , R: 0.14455231930960086 , F1: 0.22464375523889354 , conf: 0.7
'2': P: 0.9787693414897445 , R: 0.9645390070921985 , F1: 0.9716020717985354 , conf: 0.7
'3': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.7
