Conf: 0.0, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.05, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.1, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.15, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.2, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.25, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.3, Precision: 0.865620, Recall: 0.751988, F1 Score: 0.782845
Conf: 0.35, Precision: 0.695584, Recall: 0.601250, F1 Score: 0.626573
Conf: 0.4, Precision: 0.698887, Recall: 0.597454, F1 Score: 0.624306
Conf: 0.45, Precision: 0.699598, Recall: 0.590332, F1 Score: 0.619570
Conf: 0.5, Precision: 0.721804, Recall: 0.542178, F1 Score: 0.581897
Conf: 0.55, Precision: 0.590622, Recall: 0.339409, F1 Score: 0.378173
Conf: 0.6, Precision: 0.597332, Recall: 0.294405, F1 Score: 0.334069
Conf: 0.65, Precision: 0.397787, Recall: 0.265383, F1 Score: 0.308100
Conf: 0.7, Precision: 0.398504, Recall: 0.240743, F1 Score: 0.284879
Conf: 0.75, Precision: 0.399084, Recall: 0.216133, F1 Score: 0.259413
Conf: 0.8, Precision: 0.398660, Recall: 0.194676, F1 Score: 0.234677
Conf: 0.85, Precision: 0.398913, Recall: 0.173784, F1 Score: 0.210065
Conf: 0.9, Precision: 0.398969, Recall: 0.154686, F1 Score: 0.187477
Conf: 0.95, Precision: 0.395122, Recall: 0.130538, F1 Score: 0.160662
Conf: 1.0, Precision: 0.000000, Recall: 0.000000, F1 Score: 0.000000
