'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.0
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.0
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.0
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.0
weighted: P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.0
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.05
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.05
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.05
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.05
weighted: P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.05
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.1
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.1
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.1
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.1
weighted: P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.1
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.15
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.15
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.15
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.15
weighted: P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.15
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.2
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.2
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.2
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.2
weighted: P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.2
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.25
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.25
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.25
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.25
weighted: P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.25
'0': P: 0.8984836802878438 , R: 0.9479392624728851 , F1: 0.9225491489642433 , conf: 0.3
'1': P: 0.8086070215175538 , R: 0.7702265372168284 , F1: 0.7889502762430939 , conf: 0.3
'2': P: 0.9953892534137259 , R: 0.9952127659574468 , F1: 0.9953010018618672 , conf: 0.3
'3': P: 0.76 , R: 0.29457364341085274 , F1: 0.4245810055865922 , conf: 0.3
weighted: P: 0.9391479036527874 , R: 0.9415961190906497 , F1: 0.9375780193474507 , conf: 0.3
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.35
'1': P: 0.8984575835475579 , R: 0.9476681127982647 , F1: 0.9224069675376089 , conf: 0.35
'2': P: 0.808390022675737 , R: 0.7691477885652643 , F1: 0.7882808181315644 , conf: 0.35
'3': P: 0.9955642299503193 , R: 0.9948581560283688 , F1: 0.9952110677545228 , conf: 0.35
weighted: P: 0.9395941223929101 , R: 0.941215637781794 , F1: 0.9374794007602928 , conf: 0.35
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.4
'1': P: 0.899974220159835 , R: 0.946583514099783 , F1: 0.9226906303687062 , conf: 0.4
'2': P: 0.8130733944954128 , R: 0.7648327939590076 , F1: 0.7882156753752084 , conf: 0.4
'3': P: 0.99644128113879 , R: 0.9929078014184397 , F1: 0.9946714031971581 , conf: 0.4
weighted: P: 0.9412412170932896 , R: 0.9391229905830876 , F1: 0.9370134052335982 , conf: 0.4
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.45
'1': P: 0.9028571428571428 , R: 0.9425162689804772 , F1: 0.9222605465640753 , conf: 0.45
'2': P: 0.8249118683901293 , R: 0.7572815533980582 , F1: 0.7896512935883014 , conf: 0.45
'3': P: 0.9974946313528991 , R: 0.9882978723404255 , F1: 0.9928749554684717 , conf: 0.45
weighted: P: 0.9435616667030134 , R: 0.9340816132407496 , F1: 0.9354635972939335 , conf: 0.45
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.5
'1': P: 0.922886937431394 , R: 0.9118763557483731 , F1: 0.9173486088379705 , conf: 0.5
'2': P: 0.8644536652835408 , R: 0.674217907227616 , F1: 0.7575757575757576 , conf: 0.5
'3': P: 0.9994582881906826 , R: 0.9813829787234043 , F1: 0.9903381642512077 , conf: 0.5
weighted: P: 0.9563429707689153 , R: 0.9093503281651288 , F1: 0.9258985583595618 , conf: 0.5
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.55
'1': P: 0.9708398133748056 , R: 0.6770607375271149 , F1: 0.7977635782747604 , conf: 0.55
'2': P: 0.9824561403508771 , R: 0.06040992448759439 , F1: 0.11382113821138211 , conf: 0.55
'3': P: 0.9998152595603178 , R: 0.9595744680851064 , F1: 0.9792816429928526 , conf: 0.55
weighted: P: 0.9635833860697934 , R: 0.7576334062589175 , F1: 0.8152585121543762 , conf: 0.55
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.6
'1': P: 0.986848760748609 , R: 0.5290130151843818 , F1: 0.6887908208296558 , conf: 0.6
'2': P: 1.0 , R: 0.007551240560949299 , F1: 0.014989293361884369 , conf: 0.6
'3': P: 0.9998104983892363 , R: 0.9354609929078014 , F1: 0.9665659063845379 , conf: 0.6
weighted: P: 0.9707437877443321 , R: 0.6881004470655379 , F1: 0.7614940867663873 , conf: 0.6
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.65
'1': P: 0.9891304347826086 , R: 0.419468546637744 , F1: 0.5891089108910891 , conf: 0.65
'2': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.65
'3': P: 0.9998046493455753 , R: 0.9074468085106383 , F1: 0.9513895343433405 , conf: 0.65
weighted: P: 0.8833645263756593 , R: 0.6339769808808142 , F1: 0.7170617936899817 , conf: 0.65
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.7
'1': P: 0.9925187032418953 , R: 0.3237527114967462 , F1: 0.48824371294213864 , conf: 0.7
'2': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.7
'3': P: 1.0 , R: 0.8799645390070922 , F1: 0.936150146185042 , conf: 0.7
weighted: P: 0.8846579451684685 , R: 0.58565585465614 , F1: 0.6735022959967891 , conf: 0.7
'0': P: 0.0 , R: 0.0 , F1: 0.0 , conf: 0.75
'1': P: 0.995418098510882 , R: 0.2356290672451193 , F1: 0.38105678579258934 , conf: 0.75
